name,city,birthDate,deathDate,nationality,occupation
Elias Stark,Rhenen,1849,1933,Netherlands,prentmaker
Leo Gestel,Woerden,1881,1941,Netherlands,prentmaker
Adolphe Giraudon,,1849,1929,,fotograaf
Mathias de Sallieth,Praag,1749,1791,,prentmaker
Willem Steelink (I),Amsterdam,1826,1913,Netherlands,prentmaker
Jan Michiel Dionisy,Roermond,1794,1859,Netherlands,prentmaker
Annie Ermeling,Grissee,1865,1932,,prentmaker
Abraham Johannes Ruytenschildt,Amsterdam,1778,1841,Netherlands,tekenaar
Bastiaen Stopendael,Amsterdam,1636,1693,Netherlands,prentmaker
Rembrandt van Rijn,Leiden,1606,1669,Netherlands,prentmaker
Lourens Alma Tadema,Dronrijp,1836,1912,,prentmaker
Salomon Savery,Amsterdam,1594,1683,Netherlands,prentmaker
Gerrit Willem Dijsselhof,Zwollerkerspel,1866,1924,,prentmaker
Edmund Herger,Remda,1860,1907,,prentmaker
Jan van Somer,Amsterdam,1645,1699,Netherlands,prentmaker
James Hopwood (II),Yorkshire,1795,1855,,prentmaker
Reijer Stolk,Ngunut,1896,1945,,prentmaker
Marius Bauer,Den Haag,1867,1932,,prentmaker
Hieronymus Wierix,Antwerpen (stad),1553,1619,,prentmaker
Waldemar Titzenthaler,Ljubljana,1869,1937,Slovenia,fotograaf
Gabriel Huquier,Orléans,1695,1772,France,prentmaker
Friedrich Bruckmann,Keulen,1814,1898,,fotograaf
Johan Michaël Schmidt Crans,Rotterdam,1830,1907,Netherlands,prentmaker
Alexander Liernur,Den Haag,1770,1815,,prentmaker
Leo Gestel,Woerden,1881,1941,Netherlands,prentmaker
Joseph Gérard,Gent,1821,1895,,prentmaker
Friedrich August de Leuw,Solingen,1817,1888,Germany,prentmaker
Frederick Bloemaert,Utrecht,1614,1669,Netherlands,prentmaker
Johan Michaël Schmidt Crans,Rotterdam,1830,1907,Netherlands,prentmaker
Emil Orlik,Praag,1870,1932,,prentmaker
Christoph Wilhelm Bock,Neurenberg,1755,1836,,prentmaker
Salvator Rosa,Napels,1615,1673,,schilder
Johannes Josephus Aarts,Den Haag,1871,1934,,prentmaker
Jacob Cornelisz. van Oostsanen,Oostzaan,1475,1533,Netherlands,schilder
Johan Bickhoff,Amsterdam,1881,1968,Netherlands,fotograaf
Paul Nadar,Parijs,1856,1939,,fotograaf
Jan H.L. Hanau,Utrecht,1864,1925,Netherlands,tekenaar
Joseph Anton Zimmermann,Augsburg,1705,1797,Germany,prentmaker
Reinier Vinkeles (I),Amsterdam,1741,1816,Netherlands,prentmaker
Robert Nanteuil,Reims,1623,1678,France,prentmaker
Arnold van Roessel,Tilburg,1883,1947,Netherlands,prentmaker
Johannes Tavenraat,Rotterdam,1809,1881,Netherlands,prentmaker
Pierre François Tardieu,Parijs,1711,1771,,prentmaker
Gabriel Huquier,Orléans,1695,1772,France,prentmaker
Nicolaes de Bruyn,Antwerpen (stad),1571,1656,,prentmaker
Johannes Glauber,Utrecht,1646,1726,Netherlands,prentmaker
Bartholomeus Willemsz. Dolendo,Leiden,1572,1626,Netherlands,prentmaker
Manuel Romão Pereira,,1815,1894,,fotograaf
Hendrik Voogd,Amsterdam,1768,1839,Netherlands,prentmaker
Reinier Vinkeles (I),Amsterdam,1741,1816,Netherlands,prentmaker
Juriaen Pool (I),,1618,1669,,medailleur
Jan l'Admiral,Amsterdam,1699,1773,Netherlands,prentmaker
Jacques Van Gingelen,Borgerhout,1801,1864,Belgium,prentmaker
J.W. Meyster,Delft,1887,1945,,fotograaf
Félix Bonfils,Saint-Hippolyte-du-Fort,1831,1885,,fotograaf
Daniel Nikolaus Chodowiecki,Danzig,1726,1801,,prentmaker
Jacques Dumont,Parijs,1701,1781,,schilder
Samuel Bourne,Mucklestone,1834,1912,Staffordshire,fotograaf
Jan Lauwryn Krafft (I),Brussel (stad),1694,1785,,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Theodor Hosemann,Brandenburg,1807,1875,Germany,prentmaker
Johann Georg Bergmüller,Türkheim,1688,1762,Germany,prentmaker
Johannes Jacobsz van den Aveele,Amsterdam,1655,1727,Netherlands,prentmaker
Jacob de Gheyn (II),Antwerpen (stad),1565,1629,,schilder
Dionys van Nijmegen,Rotterdam,1705,1798,Netherlands,tekenaar
Johan Diderik Cornelis Veltens,Amsterdam,1814,1894,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Albert Christoph Dies,Hannover,1755,1822,,schilder
Harmen Jansz Muller,Amsterdam,1540,1617,Netherlands,prentmaker
Johannes de Mare,Amsterdam,1806,1889,Netherlands,prentmaker
Isaac Israels,Amsterdam,1865,1934,Netherlands,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Pieter van der Meulen,Leeuwarden,1780,1858,Netherlands,prentmaker
Adriaen van Ostade,Haarlem,1610,1685,Netherlands,prentmaker
Johan Antonie de Jonge,Rotterdam,1864,1927,Netherlands,tekenaar
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Pieter Schenk (I),Elberfeld,1660,1711,,prentmaker
Bartholomeus Willemsz. Dolendo,Leiden,1572,1626,Netherlands,prentmaker
Johannes Bosboom,Den Haag,1817,1891,,schilder
Stefano della Bella,Florence,1610,1664,Italy,prentmaker
Charles Chaplin,Les Andelys,1825,1891,,prentmaker
Christoffel van Sichem (I),Amsterdam,1546,1624,Netherlands,prentmaker
Isaac Israels,Amsterdam,1865,1934,Netherlands,prentmaker
Christian Heinrich Gottlieb Steuerwald,Bergen op Zoom,1802,1874,,prentmaker
Carel Christiaan Antony Last,Amsterdam,1808,1876,Netherlands,prentmaker
Jacob de Wit,Amsterdam,1695,1754,Netherlands,prentmaker
Nicolaas Hogenberg,München,1500,1539,,schilder
Alfred William Rich,Gravely,1856,1921,,tekenaar
Thomas Annan,Dairsie,1829,1887,,fotograaf
Abram van der Horn,Leiden,1782,1867,Netherlands,prentmaker
Anton Mauve,Zaandam,1838,1888,Netherlands,prentmaker
Lucas van Uden,Antwerpen (stad),1595,1673,,prentmaker
Carel Nicolaas Storm van 's-Gravesande,Breda,1841,1924,Netherlands,prentmaker
Utagawa Kunisada (I),,1786,1865,,prentmaker
